		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111111110    5    7    2    2    1    3    3    2 13.043122 0.110374 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    1    3    0    2    3    1    3  7.204461 0.514742 SUCCESS   0
000000011    1    4    2    0    2    4    3    3  5.887121 0.659874 SUCCESS   1
000000101    0    5    2    2    2    1    4    1  8.303347 0.404413 SUCCESS   2
000000111    0    4    2    0    2    4    2    3  7.456013 0.488323 SUCCESS   3
000001001    4    1    1    1    2    2    3    2  4.003788 0.856782 SUCCESS   4
000001011    1    5    1    4    3    1    4    1  8.492011 0.386941 SUCCESS   5
000001101    1    2    3    2    1    5    3    2  5.039787 0.753315 SUCCESS   6
000001111    0    2    5    1    1    4    0    2 10.719573 0.218100 SUCCESS   7
000010001    2    3    9    2    4    1    3    1 21.516464 0.005895 FAILURE   8
000010011    4    1    1    7    0    2    3    8 27.510691 0.000577 FAILURE   9
000010101    1    4    1    2    3    2    1    2  4.003788 0.856782 SUCCESS  10
000010111    2    5    0    2    2    1    3    1  7.393125 0.494871 SUCCESS  11
000011001    4    3    2    1    2    0    2    1  5.635568 0.687978 SUCCESS  12
000011011    3    4    1    5    2    2    3    1  6.012897 0.645787 SUCCESS  13
000011101    2    3    0    0    2    3    1    1  7.141573 0.521438 SUCCESS  14
000011111    1    3    3    2    3    4    4    3  3.596671 0.891559 SUCCESS  15
000100011    2    3    4    0    4    1    1    3  6.671567 0.572447 SUCCESS  16
000100101    2    1    1    1    2    1    3    6  9.150681 0.329745 SUCCESS  17
000100111    3    2    0    7    1    2    3    4 13.701792 0.089877 SUCCESS  18
000101001    3    0    4    2    2    2    2    2  4.066676 0.851058 SUCCESS  19
000101011    1    3    2    2    2    2    2    3  1.524674 0.992290 SUCCESS  20
000101101    2    2    1    3    3    2    3    1  2.372008 0.967432 SUCCESS  21
000101111    5    2    3    5    1    2    1    2  7.707565 0.462545 SUCCESS  22
