filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,9,0.017113762,1,0.998743719,0,1,0.992647059,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,10,0.018927747,1,1,0,1,1,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1.mat,157,0.03,2,1,0.420933451,0.248962134,0.080513272,0.057324841,0,0
../data/data_static_indoor_1.mat,157,0.03,3,0.02866135,0.998027224,0.275004932,0.000591833,0.98089172,0.063694268,0
../data/data_static_indoor_1.mat,157,0.03,4,0.020957485,0.99504434,0.387063119,0,0.98089172,0.025477707,0
../data/data_static_indoor_1.mat,157,0.03,5,0.014193146,0.989051095,0.607498341,0,0.974522293,0.363057325,0
../data/data_static_indoor_1.mat,157,0.03,6,0.023070448,0.996041172,0.505938242,0,0.993630573,0.23566879,0
../data/data_static_indoor_1.mat,157,0.03,7,0.01996417,0.999056159,0.466257669,0,0.987261146,0.197452229,0
../data/data_static_indoor_1.mat,157,0.03,8,0.019450198,0.996323529,0.520483193,0,0.987261146,0.23566879,0
../data/data_static_indoor_1.mat,157,0.03,9,0.027246766,0.998788613,0.447001817,0,0.993630573,0.21656051,0
../data/data_static_indoor_1.mat,157,0.03,10,0.021177687,1,0.460618847,0,1,0.248407643,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,2,1,0.770769231,0.288671329,0.08013986,0.360294118,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,3,0.036602572,0.99243813,0.155591201,0.001833181,0.933823529,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,4,0.027221487,0.993977718,0.27973502,0.000301114,0.941176471,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,5,0.011608863,0.99923401,0.262734584,0,0.985294118,0.014705882,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,6,0.01563581,1,0.194751381,0,1,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,7,0.013595691,1,0.158007499,0,1,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,8,0.012353232,0.974729242,0.161251504,0,0.830882353,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,9,0.012785614,0.991052994,0.169304886,0,0.948529412,0.007352941,0
