		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001110101    3    2    5    3    2    3    3    3  3.659559 0.886460 SUCCESS  47
001110111    0    3    2    2    1    0    3    3  6.420015 0.600293 SUCCESS  48
001111011    1    1    2    5    2    2    4    2  5.887121 0.659874 SUCCESS  49
001111101    4    5    1    2    1    7    1    3 15.522237 0.049752 SUCCESS  50
001111111    1    5    4    2    0    5    1    2 11.034014 0.199779 SUCCESS  51
010000011    2    3    2    2    3    0    2    2  3.156454 0.924159 SUCCESS  52
010000111    2    4    1    2    4    2    0    4  6.734455 0.565535 SUCCESS  53
010001011    2    4    2    2    5    5    3    2  7.111783 0.524622 SUCCESS  54
010001111    3    1    3   13    1    3    0    2 52.083381 0.000000 FAILURE  55
010010011    3    2    2    2    3    0    0    4  6.545791 0.586333 SUCCESS  56
010010111    3    0    4    1    0    1    1    3  8.899129 0.350877 SUCCESS  57
010011011    2    3    4    2    2    1    1    1  4.003788 0.856782 SUCCESS  58
010011111    3    2    4    1    3    2    5    1  6.012897 0.645787 SUCCESS  59
010100011    2    2    3    4    1    3    2    1  3.282230 0.915418 SUCCESS  60
010100111    3    0    2    2    1    4    5    0  9.998015 0.265165 SUCCESS  61
010101011    4    5    3    0    5    3    2    2  9.590898 0.294921 SUCCESS  62
010101111    6    4    3    1    5    4    0    3 13.953345 0.082990 SUCCESS  63
010110011    0    5    2    1    2    2    2    0  8.962017 0.345510 SUCCESS  64
010110111    2    5    2    2    4    5    2    3  7.111783 0.524622 SUCCESS  65
010111011    3    0    6    5    2    3    1    1 12.791570 0.119225 SUCCESS  66
010111111    5    5    3    1    4    1    3    3  8.806452 0.358886 SUCCESS  67
011000111    5    3    0    3    2    5    2    0 11.034014 0.199779 SUCCESS  68
011001111    0    3    1    1    2    5    1    3  8.240459 0.410341 SUCCESS  69
011010111    4    3    1    2    2    2    4    3  3.470895 0.901437 SUCCESS  70
011011111    2    1    3    0    4    2    2    2  4.851122 0.773363 SUCCESS  71
011101111    3    1    4    3    2    0    1    1  6.482903 0.593305 SUCCESS  72
011111111    1    4    3    2    0    2    1    0  8.051795 0.428427 SUCCESS  73
100000000    2    2    1    2    4    4    3    2  3.408006 0.906211 SUCCESS  74
100010000    0    1    3    1    3    0    0    3  9.620687 0.292664 SUCCESS  75
100100000    1    0    4    2    1    2    1    3  6.420015 0.600293 SUCCESS  76
100101000    2    1    0    6    2    6    1    2 15.270684 0.054091 SUCCESS  77
100110000    2    5    3    2    2    0    1    2  6.608679 0.579380 SUCCESS  78
100111000    2    1    1    4    3    2    1    3  4.066676 0.851058 SUCCESS  79
101000000    2    4    3    4    3    5    1    3  6.264449 0.617636 SUCCESS  80
101000100    4    4    2    1    4    2    1    2  5.102675 0.746548 SUCCESS  81
101001000    2    3    2    1    2    4    3    3  2.560672 0.958842 SUCCESS  82
101001100    5    2    4    0    2    2    2    1  7.518901 0.481816 SUCCESS  83
101010000    1    3    2    7    2    0    5    1 16.180907 0.039863 SUCCESS  84
101010100    3    1    0    1    1    2    4    0  8.836241 0.356298 SUCCESS  85
101011000    4    2    2    3    1    2    2    2  2.434896 0.964698 SUCCESS  86
101011100    1    1    1    1    1    3    7    3 13.450240 0.097269 SUCCESS  87
101100000    1    3    3    6    4    2    3    2  7.896229 0.443672 SUCCESS  88
101100100    2    1    1    1    3    3    3    6  8.492011 0.386941 SUCCESS  89
101101000    5    1    2    5    3    4    4    3  8.932228 0.348045 SUCCESS  90
101101100    2    3    2    1    4    3    2    1  3.282230 0.915418 SUCCESS  91
101110000    0    0    3    1    0    2    4    1 10.468021 0.233700 SUCCESS  92
101110100    4    3    1    1    1    2    2    3  4.066676 0.851058 SUCCESS  93
101111000    6    2    3    3    3    3    0    2  8.617787 0.375557 SUCCESS  94
101111100    0    1    2    0    2    3    0    0 11.126691 0.194624 SUCCESS  95
110000000    2    0    1    2    2    0    3    1  7.078684 0.528168 SUCCESS  96
110000010    2    2    2    2    6    2    4    1  7.707565 0.462545 SUCCESS  97
110000100    2    4    3    1    2    1    1    4  4.976899 0.760042 SUCCESS  98
110001000    2    0    1    0    1    2    1    5 10.530909 0.229720 SUCCESS  99
110001010    4    1    2    2    3    2    2    1  3.219342 0.919848 SUCCESS 100
110010000    0    1    1    1    3    2    3    5  8.240459 0.410341 SUCCESS 101
110010010    1    0    2    2    4    1    2    4  6.545791 0.586333 SUCCESS 102
110010100    4    1    2    4    0    3    4    0  9.213569 0.324601 SUCCESS 103
110011000    2    4    3    3    0    0    1    1  8.114683 0.422349 SUCCESS 104
110011010    2    5    3    3    2    2    3    4  4.506893 0.808743 SUCCESS 105
110100000    2    3    2    3    2    5    2    3  3.533783 0.896552 SUCCESS 106
110100010    4    3    1    0    5    0    3    4 11.034014 0.199779 SUCCESS 107
110100100    2    2    1    3    1    2    2    2  2.246232 0.972517 SUCCESS 108
110101000    2    6    3    6    3    3    2    2 11.474230 0.176249 SUCCESS 109
110101010    3    4    3    0    3    3    4    1  6.012897 0.645787 SUCCESS 110
110101100    2    2    2    3    1    2    0    2  3.878012 0.867958 SUCCESS 111
110110000    1    4    1    3    2    1    3    1  4.851122 0.773363 SUCCESS 112
110110010    2    0    1    4    3    2    4    0  8.240459 0.410341 SUCCESS 113
110110100    3    2    3    1    2    5    2    1  5.039787 0.753315 SUCCESS 114
110111000    1    4    5    1    1    0    3    2  9.150681 0.329745 SUCCESS 115
110111010    0    2    0    4    1    3    1    3  8.114683 0.422349 SUCCESS 116
110111100    3    3    0    5    2    1    2    4  7.644677 0.468925 SUCCESS 117
111000000    2    2    1    0    1    1    2    2  5.384016 0.715853 SUCCESS 118
111000010    3    2    4    2    4    1    1    3  4.255341 0.833382 SUCCESS 119
111000100    5    1    4    1    1    2    3    3  6.797343 0.558648 SUCCESS 120
111000110    2    4    3    4    1    1    1    4  5.950009 0.652832 SUCCESS 121
111001000    0    1    2    3    4    2    1    1  6.420015 0.600293 SUCCESS 122
111001010    1    0    1    2    1    1    3    0  8.647577 0.372892 SUCCESS 123
111001100    2    2    4    3    1    3    2    2  2.497784 0.961834 SUCCESS 124
111010000    1    3    2    1    4    5    1    1  7.518901 0.481816 SUCCESS 125
111010010    5    3    1    2    1    5    1    5 11.222678 0.189398 SUCCESS 126
111010100    3    3    4    3    1    2    0    1  5.761345 0.673945 SUCCESS 127
111010110    5    3    1    2    2    5    0    6 14.674903 0.065784 SUCCESS 128
111011000    2    4    2    3    1    3    4    0  5.887121 0.659874 SUCCESS 129
111011010    3    5    3    3    3    2    2    1  4.381117 0.821206 SUCCESS 130
111011100    1    4    6    4    1    1    4    2 11.222678 0.189398 SUCCESS 131
111100000    3    1    2    1    5    4    2    2  5.950009 0.652832 SUCCESS 132
111100010    6    2    4    1    0    3    1    5 13.701792 0.089877 SUCCESS 133
111100100    1    2    0    2    7    3    0    3 15.144908 0.056388 SUCCESS 134
111100110    0    4    5    2    2    2    2    2  6.734455 0.565535 SUCCESS 135
111101000    4    2    2    1    3    5    3    3  5.291339 0.726032 SUCCESS 136
111101010    4    2    3    2    1    2    2    0  4.851122 0.773363 SUCCESS 137
111101100    1    4    2    3    1    2    3    1  4.066676 0.851058 SUCCESS 138
111101110    2    3    3    5    1    2    2    0  6.671567 0.572447 SUCCESS 139
111110000    1    3    4    1    2    2    3    3  3.345118 0.910872 SUCCESS 140
111110010    1    2    1    2    6    4    0    0 13.324464 0.101163 SUCCESS 141
111110100    1    2    0    0    4    5    4    1 11.692684 0.165451 SUCCESS 142
111110110    3    4    5    1    1    1    3    4  7.770453 0.456208 SUCCESS 143
111111000    2    5    6    0    2    3    2    3 11.222678 0.189398 SUCCESS 144
111111010    5    4    2    0    1    3    2    2  7.581789 0.475349 SUCCESS 145
111111100    1    3    4    1    2    2    0    1  6.420015 0.600293 SUCCESS 146
111111110    1    4    3    2    0    2    1    0  8.051795 0.428427 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
