		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110000    1    2    1    1    4    2    0    1  9.062943 0.337014 SUCCESS 140
111110010    2    0    1    2    1    1    0    1  3.674427 0.885239 SUCCESS 141
111110100    0    1    1    2    2    1    1    1  2.479554 0.962678 SUCCESS 142
111110110    3    0    0    1    1    4    1    1 11.952485 0.153337 SUCCESS 143
111111000    3    0    1    1    1    1    0    1  5.369096 0.717496 SUCCESS 144
111111010    0    1    1    2    2    1    1    1  2.479554 0.962678 SUCCESS 145
111111100    2    0    2    1    0    1    0    0  6.064175 0.640043 SUCCESS 146
111111110    1    0    1    1    2    3    0    1  5.868891 0.661915 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    1    3    0    0    2    1    0  8.258638 0.408622 SUCCESS   0
000000011    1    0    2    1    0    2    1    0  4.869301 0.771450 SUCCESS   1
000000101    1    1    0    1    2    0    2    1  3.674427 0.885239 SUCCESS   2
000000111    0    0    1    1    1    1    2    3  5.868891 0.661915 SUCCESS   3
000001001    1    0    0    1    0    0    0    1  6.259459 0.618194 SUCCESS   4
000001011    1    2    0    1    1    1    2    0  3.674427 0.885239 SUCCESS   5
000001101    1    0    2    1    1    0    1    2  3.674427 0.885239 SUCCESS   6
000001111    0    1    0    3    2    1    2    3  9.062943 0.337014 SUCCESS   7
000010001    2    1    2    1    1    1    1    0  2.479554 0.962678 SUCCESS   8
000010011    2    0    0    1    2    1    0    1  4.869301 0.771450 SUCCESS   9
